journal_id,journal_name,issn,e_issn,publisher,subject_area,citescore,sjr,snip,status
b4569cb1-2be8-45dc-a664-21dca7988e3a,JOURNAL OF RADIATION RESEARCH AND APPLIED SCIENCES,1687-8507,1687-8507,ELSEVIER,,,,,inactive
1fa2c2e1-2478-4ee7-b73c-6eb0930a52d3,INTERNATIONAL JOURNAL OF IMPLANT DENTISTRY,,2198-4034,SPRINGER JAPAN KK,,,,,inactive
7396e4c4-2992-4565-8357-28e2854ea034,VETERINARIA MEXICO,0301-5092,2448-6760,"Facultad de Medicina Veterinaria y Zootecnia, Universidad Nacional Autonoma de Mexico",,,,,inactive
d85fe437-8043-4afd-8ef9-a45dd8697774,AMERICAN ECONOMIC REVIEW-INSIGHTS,2640-205X,2640-2068,AMER ECONOMIC ASSOC,,,,,inactive
5e52e992-a9df-42df-9b14-2ca6ce478cf7,INDIAN JOURNAL OF GEO-MARINE SCIENCES,0379-5136,0975-1033,National Institute of Science Communication and Information Resources (NISCAIR),,,,,inactive
6012c7e8-2c84-4485-a1e7-01123c936942,JOURNAL OF SYSTEMS ENGINEERING AND ELECTRONICS,1004-4132,1004-4132,"SYSTEMS ENGINEERING & ELECTRONICS, EDITORIAL DEPT",,,,,inactive
f2e6972f-09fe-42c9-a2aa-57b44e183ad7,BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK,2245-7070,2245-7070,GEOLOGICAL SOC DENMARK,,,,,inactive
b2364dd3-0cf9-4628-a26d-2701e4390566,HERZOGIA,0018-0971,,BLAM E V,,,,,inactive
266b89ba-5b1a-4951-99ea-95f06e8ca269,NAUPLIUS,0104-6497,2358-2936,SOC BRASILEIRA CARCINOLOGIA,,,,,inactive
7563966a-f32d-4bfd-b302-dd7433c00473,CURRENT EPIDEMIOLOGY REPORTS,,2196-2995,SPRINGER HEIDELBERG,,,,,inactive
77042eb3-0b1b-4e40-bb2a-29bf513cd7b5,CANCER & METABOLISM,,2049-3002,BMC,,,,,inactive
5d40d282-e830-4902-9af9-b5be18da5f01,ENDOCRINOLOGIA DIABETES Y NUTRICION,2530-0180,2530-0180,ELSEVIER,,,,,inactive
f6c6b439-6a06-4c74-aa49-1509d9a019c4,ELECTROCHEMISTRY,1344-3542,2186-2451,ELECTROCHEMICAL SOC JAPAN,,,,,inactive
105c1ec8-e41e-48e1-83c5-01a3df69d9dd,NETHERLANDS QUARTERLY OF HUMAN RIGHTS,0924-0519,2214-7357,South African Water Research Commission,,,,,inactive
105fca86-f42d-4906-a633-6d163ccefb8e,ALCOHOL RESEARCH-CURRENT REVIEWS,1535-7414,1930-0573,National Institute on Alcohol Abuse and Alcoholism (NIAAA),,,,,inactive
3c13f97b-de69-4eac-b985-870590ef258b,ADVANCES IN LIFE COURSE RESEARCH,1040-2608,1040-2608,ELSEVIER SCI LTD,,,,,inactive
0126191b-27d8-4009-9e90-13494ceb7614,WORLD JOURNAL OF DIABETES,,1948-9358,BAISHIDENG PUBLISHING GROUP INC,,,,,inactive
1405e5d1-2422-4e0b-adb2-d53c312ddde2,POPULATION,0032-4663,1957-7966,INST NATL D ETUDES DEMOGRAPHIQUES,,,,,inactive
1542d95d-4705-4ec1-9373-b9061bf8b6c8,WORLD JOURNAL OF PSYCHIATRY,2220-3206,2220-3206,BAISHIDENG PUBLISHING GROUP INC,,,,,inactive
1314c742-24dd-41d7-ae02-47864a8166f5,AUSTRIAN JOURNAL OF FOREST SCIENCE,0379-5292,0375-524X,OSTERREICHISCHER AGRARVERLAG,,,,,inactive
5ddc9d4f-e343-4f58-a828-2ec28dca9533,POLITICS GROUPS AND IDENTITIES,2156-5503,2156-5511,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",,,,,inactive
5e4c1735-1a2f-4cd2-b0af-956605237497,TWMS JOURNAL OF PURE AND APPLIED MATHEMATICS,2076-2585,2219-1259,INST APPLIED MATHEMATICS,,,,,inactive
82c11ae9-1792-49df-ad6a-84d3689b9563,ALPHA PSYCHIATRY (PREVIOUSLY KNOWN AS ANADOLU PSIKIYATRI DERGISI-ANATOLIAN JOURNAL OF PSYCHIATRY),0NO -DATA,2757-8038,CUMHURIYET UNIV TIP FAK PSIKIYATRI ANABILIM DALI,,,,,inactive
954a31fe-d206-4e37-a74f-763b221cdc81,DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,0095-0033,,ASSOC COMPUTING MACHINERY,,,,,inactive
956b3cc9-5f49-4f99-b370-7585e5065a27,HUMAN-WILDLIFE INTERACTIONS,1934-4392,1936-8046,JACK H BERRYMAN INST,,,,,inactive
965dac2c-88cc-4007-8782-76f00dd47d3e,HEPATOBILIARY SURGERY AND NUTRITION,2304-3881,2304-389X,AME PUBLISHING COMPANY,,,,,inactive
97247413-a60c-403c-b9a0-08868ee7dc30,DIFFERENTIAL EQUATIONS,0012-2661,1608-3083,PLEIADES PUBLISHING INC,,,,,inactive
b2c4119e-21fc-475c-83a6-10d79c2805b5,JOURNAL OF HIP PRESERVATION SURGERY,2054-8397,2054-8397,OXFORD UNIV PRESS,,,,,inactive
b8d17c17-994d-4409-a1ac-78abb997556a,PERIOPERATIVE MEDICINE,,2047-0525,BMC,,,,,inactive
c2d715d5-ccd9-465f-99f7-98ceb2ea8614,NPJ SCHIZOPHRENIA,,2334-265X,SPRINGER NATURE,,,,,inactive
d076a4a3-349d-40b7-9ead-4ea30977e79b,COMPUTER LAW & SECURITY REVIEW,0267-3649,0267-3649,ELSEVIER ADVANCED TECHNOLOGY,,,,,inactive
d2b0a0da-80f2-4462-9214-be3f66d8f4e3,NEFROLOGIA,0211-6995,1989-2284,SOC ESPANOLA NEFROLOGIA DR RAFAEL MATESANZ,,,,,inactive
e5d17e1f-5f6c-4ae8-ae0e-32ec86e2167a,WORLD JOURNAL OF GASTROINTESTINAL SURGERY,1948-9366,1948-9366,BAISHIDENG PUBLISHING GROUP INC,,,,,inactive
e75b97ae-b265-45e5-a315-d1e2cc581984,BERICHTE UBER LANDWIRTSCHAFT,2196-5099,,BUNDESMINISTERIUM ERNAHRUNG LANDWIRTSCHAFT,,,,,inactive
