id,title,print_issn,e_issn,normalized_print,normalized_e,source_id,scopus_title,scopus_publisher,scopus_issn,scopus_eissn
0dd6c3fa-3035-402a-99d1-2c024ded5512,ARTHRITIS RESEARCH & THERAPY,1478-6354,1478-6362,14786354,14786362,27592,Arthritis Research and Therapy,BioMed Central Ltd,14786354,14786362
4ec29321-4141-4ebe-922b-7cb3a9f4b611,BOUNDARY VALUE PROBLEMS,1687-2770,1687-2770,16872770,16872770,4000149606,Boundary Value Problems,SpringerOpen,16872762,16872770
04c72748-c03a-495b-bcab-c5f4f8924a60,ADVANCED MATERIALS,0935-9648,1521-4095,09359648,15214095,19881,Advanced Materials,John Wiley and Sons Inc,09359648,15214095
0e9c7414-41ba-4f22-ba18-573c31b59793,ANNUAL REVIEW OF PHYTOPATHOLOGY,0066-4286,1545-2107,00664286,15452107,16715,Annual Review of Phytopathology,Annual Reviews Inc.,00664286,15452107
0bb54493-2451-40d8-811e-d85e4c6e7d44,CLINICAL ORAL IMPLANTS RESEARCH,0905-7161,1600-0501,09057161,16000501,24408,Clinical Oral Implants Research,John Wiley and Sons Inc,09057161,16000501
5997e1b4-ccd4-498f-845d-a989d75fbbb6,CHEMBIOENG REVIEWS,2196-9744,2196-9744,21969744,21969744,21100933196,ChemBioEng Reviews,Wiley-Blackwell Publishing Ltd,,21969744
81972f0f-e907-42ee-8033-cdba1ebffa0e,SCIENCE EDUCATION,0036-8326,1098-237X,00368326,1098237X,23626,Science Education,Wiley-Liss Inc.,00368326,1098237X
66a3f8e0-0950-4831-9ae8-d8402fa0093f,EXPERIMENTAL AND APPLIED ACAROLOGY,0168-8162,1572-9702,01688162,15729702,21504,Experimental and Applied Acarology,Springer Science and Business Media Deutschland GmbH,01688162,15729702
547b6458-a715-44de-9f66-3459bfe56a75,HEPATOLOGY COMMUNICATIONS,NA,2471-254X,no data,2471254X,21101041514,Hepatology Communications,Lippincott Williams and Wilkins,,2471254X
a38de513-f058-4ea8-95d2-2a6d9de2dd91,INTERNATIONAL STATISTICAL REVIEW,0306-7734,1751-5823,03067734,17515823,12068,International Statistical Review,John Wiley & Sons Inc.,03067734,17515823
52d0cae1-1480-440d-ac1c-38f5627143d6,LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,0897-6546,1747-4469,08976546,17474469,17585,Law and Social Inquiry,Cambridge University Press,08976546,17474469
