journal_id,journal_name,issn,e_issn,publisher,subject_area,citescore,sjr,snip,status
0dd6c3fa-3035-402a-99d1-2c024ded5512,ARTHRITIS RESEARCH & THERAPY,1478-6354,1478-6362,Springer Nature,Rheumatology,8.7,1.591,1.416,active
4ec29321-4141-4ebe-922b-7cb3a9f4b611,BOUNDARY VALUE PROBLEMS,1687-2770,1687-2770,Springer Nature,Algebra and Number Theory,2.7,0.5,0.977,active
04c72748-c03a-495b-bcab-c5f4f8924a60,ADVANCED MATERIALS,0935-9648,1521-4095,John Wiley & Sons,Mechanical Engineering,42.0,8.266,3.641,active
0e9c7414-41ba-4f22-ba18-573c31b59793,ANNUAL REVIEW OF PHYTOPATHOLOGY,0066-4286,1545-2107,Annual Reviews Inc.,Plant Science,18.3,3.544,3.646,active
0bb54493-2451-40d8-811e-d85e4c6e7d44,CLINICAL ORAL IMPLANTS RESEARCH,0905-7161,1600-0501,John Wiley & Sons,Oral Surgery,9.5,2.011,2.121,active
5997e1b4-ccd4-498f-845d-a989d75fbbb6,CHEMBIOENG REVIEWS,2196-9744,2196-9744,John Wiley & Sons,Industrial and Manufacturing Engineering,13.8,1.285,1.589,active
81972f0f-e907-42ee-8033-cdba1ebffa0e,SCIENCE EDUCATION,0036-8326,1098-237X,John Wiley & Sons,History and Philosophy of Science,6.5,1.579,2.201,active
66a3f8e0-0950-4831-9ae8-d8402fa0093f,EXPERIMENTAL AND APPLIED ACAROLOGY,0168-8162,1572-9702,Springer Nature,Insect Science,3.3,0.544,0.923,active
547b6458-a715-44de-9f66-3459bfe56a75,HEPATOLOGY COMMUNICATIONS,,2471-254X,Wolters Kluwer Health,Hepatology,11.0,2.423,1.403,active
a38de513-f058-4ea8-95d2-2a6d9de2dd91,INTERNATIONAL STATISTICAL REVIEW,0306-7734,1751-5823,John Wiley & Sons,Statistics and Probability,6.1,1.112,2.02,active
52d0cae1-1480-440d-ac1c-38f5627143d6,LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,0897-6546,1747-4469,Cambridge University Press,Law,2.6,0.58,1.045,active
63c3fca7-f7e1-4f06-8dc1-aa1d394c956b,JOURNAL OF HOSPITALITY & TOURISM RESEARCH,1096-3480,1557-7554,SAGE,Education,14.3,1.953,2.442,active
1abe2eec-445d-4d6f-9ce5-26a9ea9510ab,BIRTH DEFECTS RESEARCH,2472-1727,2472-1727,John Wiley & Sons,"Pediatrics, Perinatology and Child Health",3.3,0.56,0.827,active
bfe46072-e037-47cb-bf4d-af10ec948b94,BIOLOGIA,0006-3088,1336-9563,Springer Nature,Animal Science and Zoology,3.6,0.386,0.584,active
206e94bd-5b3a-4d97-bbd1-31caa8f44772,CRIME MEDIA CULTURE,1741-6590,1741-6604,SAGE,Cultural Studies,4.5,0.6,1.635,active
0542c40c-84fb-4db7-91ad-b1802bceb17b,INDIAN JOURNAL OF PUBLIC HEALTH,0019-557X,2229-7693,Wolters Kluwer Medknow Publications,Epidemiology,1.3,0.312,0.492,active
d58286ac-8651-46b5-9eb0-91682cad06dd,RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,1540-7969,2169-2408,SAGE,General Health Professions,3.4,1.342,2.398,active
64074798-3d37-412d-ac2c-377301b1154e,SUSTAINABLE ENVIRONMENT RESEARCH,2468-2039,2468-2039,Springer Nature,Water Science and Technology,10.9,0.935,1.249,active
642e84e0-3bc6-45e8-a3f4-b6df2e8bf7c6,SCANDINAVIAN JOURNAL OF SURGERY,1457-4969,1799-7267,SAGE,Surgery,3.4,0.66,1.022,active
64bffbfe-057a-41d7-8179-5700db20c3b1,SOFTWARE AND SYSTEMS MODELING,1619-1366,1619-1374,Springer Nature,Modeling and Simulation,8.3,0.66,1.682,active
4c5aad26-4083-46e8-9abc-a70cfb097a12,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,0883-6353,1520-6548,John Wiley & Sons,Archeology (arts and humanities),3.1,0.703,0.959,active
