Journal Name,Publisher,ISSN,E-ISSN,Subject Area,CiteScore,SJR,SNIP
Ca-A Cancer Journal for Clinicians,John Wiley & Sons,0007-9235,1542-4863,Medicine: Oncology; Medicine: Hematology,649.8,104.065,152.111
Nature Reviews Molecular Cell Biology,Springer Nature,1471-0072,1471-0080,"Biochemistry, Genetics and Molecular Biology: Molecular Biology; Biochemistry, Genetics and Molecular Biology: Cell Biology",165.2,35.568,20.928
Nature Reviews Drug Discovery,Springer Nature,1474-1776,1474-1784,"Pharmacology, Toxicology and Pharmaceutics: Pharmacology; Pharmacology, Toxicology and Pharmaceutics: Drug Discovery",159.2,32.577,18.268
MMWR Recommendations and Reports,Centers for Disease Control and Prevention (CDC),1057-5987,1545-8601,"Social Sciences: Health (social science); Medicine: Epidemiology; Environmental Science: Health, Toxicology and Mutagenesis; Health Professions: Health Information Management",131.2,27.974,24.296
Nature Reviews Clinical Oncology,Springer Nature,1759-4774,1759-4782,Medicine: Oncology,126.6,28.076,15.907
Nature Reviews Microbiology,Springer Nature,1740-1526,1740-1534,Medicine: Infectious Diseases; Immunology and Microbiology: Microbiology; Immunology and Microbiology: General Immunology and Microbiology,124.0,18.406,15.050
Kidney International Supplements,Elsevier,2157-1724,2157-1716,Medicine: Nephrology,117.7,12.369,27.114
Nature Reviews Materials,Springer Nature,N/A,2058-8437,"Materials Science: Materials Chemistry; Materials Science: Electronic, Optical and Magnetic Materials; Materials Science: Biomaterials; Materials Science: Surfaces, Coatings and Films; Energy: Energy (miscellaneous)",110.6,20.801,10.317
Chemical Reviews,American Chemical Society,0009-2665,1520-6890,Chemistry: General Chemistry,109.1,16.918,11.444
Nature Reviews Earth and Environment,Springer Nature,N/A,2662-138X,Environmental Science: Nature and Landscape Conservation; Earth and Planetary Sciences: Earth-Surface Processes; Environmental Science: Pollution; Earth and Planetary Sciences: Atmospheric Science,98.9,17.081,16.154
IEEE Communications Surveys and Tutorials,IEEE,N/A,1553-877X,Engineering: Electrical and Electronic Engineering,98.7,14.838,14.933
Nature Reviews Cancer,Springer Nature,1474-175X,1474-1768,"Biochemistry, Genetics and Molecular Biology: Cancer Research; Medicine: Oncology",96.2,22.814,10.568
MMWR Surveillance Summaries,Centers for Disease Control and Prevention (CDC),1546-0738,1545-8636,"Social Sciences: Health (social science); Medicine: Epidemiology; Environmental Science: Health, Toxicology and Mutagenesis; Health Professions: Health Information Management",93.2,14.728,24.050
The Lancet,Elsevier,0140-6736,1474-547X,Medicine: General Medicine,92.4,14.821,27.703
Nature Reviews Methods Primers,Springer Nature,N/A,2662-8449,"Biochemistry, Genetics and Molecular Biology: General Biochemistry, Genetics and Molecular Biology; Medicine: General Medicine",88.3,14.459,16.701
Progress in Energy and Combustion Science,Elsevier,0360-1285,N/A,Energy: Energy Engineering and Power Technology; Chemical Engineering: General Chemical Engineering; Energy: Fuel Technology,87.5,8.013,9.398
World Psychiatry,John Wiley & Sons,1723-8617,2051-5545,Medicine: Psychiatry and Mental Health; Nursing: Psychiatric Mental Health,84.8,20.787,18.649
Nature Reviews Immunology,Springer Nature,1474-1733,1474-1741,Immunology and Microbiology: Immunology; Medicine: Immunology and Allergy,83.5,17.646,9.108
Signal Transduction and Targeted Therapy,Springer Nature,2095-9907,2059-3635,"Biochemistry, Genetics and Molecular Biology: Genetics; Biochemistry, Genetics and Molecular Biology: Cancer Research",81.6,17.740,11.887
Living Reviews in Relativity,Springer Nature,2367-3613,1433-8351,Physics and Astronomy: Physics and Astronomy (miscellaneous),80.6,14.227,12.621
